P,T,C,G,D,S,bodySegment,skill,Mark,w,r2,peak,nt,n,r2_alpha
10,2,2,13,1,1,1,1,R_HM1,0.465394374858585,0.572992730232535,5.11904761904762,0.808394766553762,84,0.836049434922249
10,2,2,13,1,1,2,1,STRN,0.512793432746771,0.469311458030895,4.52702702702703,0.775193603645487,74,0.771238026076608
10,2,2,13,1,1,2,1,LFHD,0.453810417899656,0.577518273336893,4.25714285714286,0.699023709902371,70,0.919539424192452
10,2,2,13,1,1,2,1,L_IAS,0.469049016904778,0.544019339147737,4.48333333333333,0.588992200010331,60,0.896631463542134
10,2,2,13,1,1,2,1,R_IAS,0.527958507703746,0.493610176335436,4.32786885245902,0.609804056062373,61,0.745749599681487
10,2,2,13,1,1,3,1,L_TH1,0.487005681465374,0.530253150097935,4.66666666666667,0.622279043339016,60,0.859400171894589
10,2,2,13,1,1,3,1,R_TH1,0.475632614604409,0.554300622797568,4.35087719298246,0.554294072388472,57,0.866222109348774
10,2,2,13,1,1,3,1,L_SK1,0.484161560921751,0.542631875349045,3.94444444444444,0.520877455791449,54,0.727975549309082
10,2,2,13,1,1,3,1,R_SK1,0.530292373022037,0.471564257189385,4.0983606557377,0.569787085940457,61,0.702802926584991
10,2,2,13,1,1,3,1,L_FM2,0.483361017809548,0.576347499419581,2.86666666666667,0.294033782736712,30,0.784181670272801
10,2,2,13,1,1,3,1,R_FM2,0.387326062157715,0.740814068721752,1.72727272727273,0.254694786075539,11,0.517004523471667
10,2,2,13,1,2,1,1,RUA1,0.453703488768957,0.561700720785171,5.26984126984127,0.711200782794316,63,0.880253045186683
10,2,2,13,1,2,1,1,LUA1,0.443934376116257,0.580796085436388,5.74074074074074,0.661902975990736,54,0.933150492614903
10,2,2,13,1,2,1,1,LF1,0.463236207893477,0.550459057970312,6.89583333333333,0.572392965002665,48,0.89297006906865
10,2,2,13,1,2,1,1,RF1,0.451154675483713,0.573956430592732,6.2037037037037,0.618325733799175,54,0.90669747190917
10,2,2,13,1,2,1,1,L_HM1,0.433396930791962,0.597091373068522,5.20588235294118,0.819307577356756,68,0.921941125844001
10,2,2,13,1,2,1,1,R_HM1,0.445024748425381,0.574252428589038,5.515625,0.694622712737609,64,0.815258999690618
10,2,2,13,1,2,2,1,STRN,0.493466853957676,0.514006852350872,4.53731343283582,0.776005387876747,67,0.711666537135566
10,2,2,13,1,2,2,1,LFHD,0.473758457994305,0.513346820830934,4.59649122807018,0.658865586421196,57,0.913779239203149
10,2,2,13,1,2,2,1,L_IAS,0.484644154995313,0.519615879515321,4.70689655172414,0.676564098480161,58,0.866309599314618
10,2,2,13,1,2,2,1,R_IAS,0.477991585888615,0.534250509978284,4.05882352941176,0.764125902626106,68,0.738949977714043
10,2,2,13,1,2,3,1,L_TH1,0.474663494724068,0.543734656148901,4.02857142857143,0.805892952313276,70,0.838566514979095
10,2,2,13,1,2,3,1,R_TH1,0.437871488675987,0.603102331745847,3.828125,0.720459895185646,64,0.887790751916972
10,2,2,13,1,2,3,1,L_SK1,0.470808377283021,0.551705054311188,4.0377358490566,0.59819264791159,53,0.817760402047979
10,2,2,13,1,2,3,1,R_SK1,0.476872831830277,0.529040982354085,3.98333333333333,0.665671818558655,60,0.693130600760694
10,2,2,13,1,2,3,1,L_FM2,0.50962122155415,0.531043546878945,3.23076923076923,0.447640652117469,39,0.827041685317279
10,2,2,13,1,2,3,1,R_FM2,0.44523886757559,0.626660241692044,1.66666666666667,0.572392965002665,18,0.453413183626147
10,2,2,13,2,1,1,1,RUA1,0.447483262927601,0.600699479920811,4.71875,0.608436812323169,64,0.929957041155393
10,2,2,13,2,1,1,1,LUA1,0.460210379534989,0.567490591267925,4.6,0.664005029864822,70,0.882839448525456
10,2,2,13,2,1,1,1,LF1,0.524768261203106,0.455559744937429,5.53846153846154,0.641929243343893,65,0.902023683982184
10,2,2,13,2,1,1,1,RF1,0.444072883906888,0.582287207438469,5.76271186440678,0.565100517372748,59,0.903892882112783
10,2,2,13,2,1,1,1,L_HM1,0.522329095214513,0.470726956692664,5.52631578947368,0.767811346977945,76,0.76305166693756
10,2,2,13,2,1,1,1,R_HM1,0.527936998833489,0.4714880023782,6.03174603174603,0.614968338797323,63,0.882899063820751
10,2,2,13,2,1,2,1,STRN,0.525172443420102,0.474659188387376,4.8695652173913,0.657725444099704,69,0.730662105358861
10,2,2,13,2,1,2,1,LFHD,0.453954399421956,0.584629807243663,3.71084337349398,0.796277218272651,83,0.824636477786188
10,2,2,13,2,1,2,1,L_IAS,0.482405196258251,0.561987610040138,3.62857142857143,0.70178739839224,70,0.74918488240321
10,2,2,13,2,1,2,1,R_IAS,0.461723212776704,0.559451204468692,4.47761194029851,0.63032604972622,67,0.838803048445177
10,2,2,13,2,1,3,1,L_TH1,0.455971224063333,0.592374574261516,4.2280701754386,0.535567541929328,57,0.825425405356715
10,2,2,13,2,1,3,1,R_TH1,0.46254295286335,0.580464941448231,3.625,0.602282104684062,64,0.869289415201756
10,2,2,13,2,1,3,1,L_SK1,0.455245413914345,0.556926248178929,3.65,0.636807083726291,60,0.738999944787962
